class,n,recall,coverage,retained_n,retained_recall,automatic_miss_rate_all_class,method
akiec,46,0.10869565217391304,0.021739130434782608,1,0.0,0.021739130434782608,deep_ensemble_msp
bcc,230,0.3173913043478261,0.09565217391304348,22,0.5,0.04782608695652174,deep_ensemble_msp
bkl,62,0.532258064516129,0.20967741935483872,13,0.6153846153846154,0.08064516129032258,deep_ensemble_msp
df,39,0.38461538461538464,0.20512820512820512,8,0.375,0.1282051282051282,deep_ensemble_msp
mel,196,0.34183673469387754,0.15306122448979592,30,0.3,0.10714285714285714,deep_ensemble_msp
nv,555,0.9459459459459459,0.7117117117117117,395,0.9974683544303797,0.0018018018018018018,deep_ensemble_msp
vasc,41,0.34146341463414637,0.2682926829268293,11,0.36363636363636365,0.17073170731707318,deep_ensemble_msp
akiec,46,0.10869565217391304,0.021739130434782608,1,0.0,0.021739130434782608,deep_ensemble_calibrated_msp
bcc,230,0.3173913043478261,0.09565217391304348,22,0.45454545454545453,0.05217391304347826,deep_ensemble_calibrated_msp
bkl,62,0.532258064516129,0.1774193548387097,11,0.6363636363636364,0.06451612903225806,deep_ensemble_calibrated_msp
df,39,0.38461538461538464,0.1794871794871795,7,0.42857142857142855,0.10256410256410256,deep_ensemble_calibrated_msp
mel,196,0.34183673469387754,0.14795918367346939,29,0.27586206896551724,0.10714285714285714,deep_ensemble_calibrated_msp
nv,555,0.9459459459459459,0.7153153153153153,397,0.9974811083123426,0.0018018018018018018,deep_ensemble_calibrated_msp
vasc,41,0.34146341463414637,0.2682926829268293,11,0.36363636363636365,0.17073170731707318,deep_ensemble_calibrated_msp
akiec,46,0.10869565217391304,0.06521739130434782,3,0.0,0.06521739130434782,mc_dropout_pe_seed2026
bcc,230,0.4826086956521739,0.2,46,0.7391304347826086,0.05217391304347826,mc_dropout_pe_seed2026
bkl,62,0.4838709677419355,0.25806451612903225,16,0.625,0.0967741935483871,mc_dropout_pe_seed2026
df,39,0.5128205128205128,0.41025641025641024,16,0.625,0.15384615384615385,mc_dropout_pe_seed2026
mel,196,0.2193877551020408,0.1377551020408163,27,0.07407407407407407,0.12755102040816327,mc_dropout_pe_seed2026
nv,555,0.9099099099099099,0.6522522522522523,362,0.994475138121547,0.0036036036036036037,mc_dropout_pe_seed2026
vasc,41,0.5365853658536586,0.36585365853658536,15,0.4666666666666667,0.1951219512195122,mc_dropout_pe_seed2026
