metric,point,ci_low,ci_high,method
n,1169.0,1149.975,1190.0,deep_ensemble_msp
accuracy,0.6261762189905903,0.5962780614018821,0.6569230045007638,deep_ensemble_msp
macro_f1,0.43148250497420537,0.38570188537209066,0.4702058346053759,deep_ensemble_msp
weighted_f1,0.6047680506067519,0.5712604595568942,0.6392163096375176,deep_ensemble_msp
melanoma_recall,0.34183673469387754,0.269652117545376,0.4188897838636058,deep_ensemble_msp
nll,1.3007807369631705,1.1761803258303685,1.421969521297876,deep_ensemble_msp
brier,0.5220213384467979,0.48217726456073146,0.5579302610599214,deep_ensemble_msp
ece15,0.16019110206191406,0.13500513102355993,0.1869940696522655,deep_ensemble_msp
classwise_ece_mean,0.07272770112507518,0.06820946706569966,0.08122469879627028,deep_ensemble_msp
melanoma_binary_ece,0.08327447696731434,0.0679926796148524,0.10542428100899769,deep_ensemble_msp
aurc,0.1561966526542882,0.13508477254629234,0.17853142433611507,deep_ensemble_msp
eaurc,0.07550070122880488,0.0637082526059947,0.08711164730318356,deep_ensemble_msp
error_auroc,0.8165178627252381,0.7926199559891981,0.8392965898220007,deep_ensemble_msp
error_auprc,0.6748620589644279,0.6266165901716493,0.7251549874987571,deep_ensemble_msp
sel_coverage,0.41060735671514115,0.3798961390348303,0.4400034453057709,deep_ensemble_msp
sel_selective_accuracy,0.89375,0.8665262374985532,0.9195662830349531,deep_ensemble_msp
sel_selective_macro_f1,0.5156074075058356,0.41117594839821126,0.6130301635311115,deep_ensemble_msp
sel_melanoma_coverage,0.15306122448979592,0.10446468154278114,0.20372474747474745,deep_ensemble_msp
sel_retained_melanoma_fn,21.0,12.975000000000001,30.0,deep_ensemble_msp
sel_retained_melanoma_sensitivity,0.3,0.14285714285714285,0.4852272727272724,deep_ensemble_msp
sel_automatic_melanoma_miss_rate,0.10714285714285714,0.06481481481481481,0.15343915343915343,deep_ensemble_msp
sel_melanoma_fn_escape_rate,0.16279069767441862,0.10217409899635037,0.23530607364897177,deep_ensemble_msp
accuracy,0.6261762189905903,0.599477623577109,0.6566866620518799,deep_ensemble_calibrated_msp
macro_f1,0.43148250497420537,0.3874474099047554,0.47007963748386333,deep_ensemble_calibrated_msp
melanoma_recall,0.34183673469387754,0.2673102310231023,0.4239369790493354,deep_ensemble_calibrated_msp
nll,1.1409566414092178,1.041382140869348,1.2322962502217403,deep_ensemble_calibrated_msp
brier,0.49983601811666745,0.4638110291504772,0.5325071728384003,deep_ensemble_calibrated_msp
ece15,0.11234240935140448,0.0889580711703608,0.13494688458252982,deep_ensemble_calibrated_msp
eaurc,0.07441666023465308,0.062307692786067695,0.08651683571138563,deep_ensemble_calibrated_msp
sel_coverage,0.40889649272882805,0.3794567062818336,0.4393509471937422,deep_ensemble_calibrated_msp
sel_selective_accuracy,0.895397489539749,0.8680335929591141,0.9214948106861427,deep_ensemble_calibrated_msp
sel_melanoma_coverage,0.14795918367346939,0.10364859490986214,0.19802099775194912,deep_ensemble_calibrated_msp
sel_automatic_melanoma_miss_rate,0.10714285714285714,0.06665876777251185,0.1550020053475936,deep_ensemble_calibrated_msp
accuracy,0.6295979469632165,0.6024931030795552,0.6570513183289074,mc_dropout_pe_seed2026
macro_f1,0.44532091212084535,0.41053932601053955,0.47850407880902573,mc_dropout_pe_seed2026
melanoma_recall,0.2193877551020408,0.1686046511627907,0.2809555984555985,mc_dropout_pe_seed2026
nll,2.0483873298668085,1.8557593621966362,2.237746269124104,mc_dropout_pe_seed2026
brier,0.6263785130548847,0.5783926832413262,0.6729100347793241,mc_dropout_pe_seed2026
ece15,0.2700593523197657,0.24683344380682096,0.29602820803962,mc_dropout_pe_seed2026
eaurc,0.09807647653480822,0.08282032892543226,0.11536069137218677,mc_dropout_pe_seed2026
sel_coverage,0.41488451668092385,0.3873691885830027,0.44254594775756795,mc_dropout_pe_seed2026
sel_selective_accuracy,0.8721649484536083,0.8401576430831176,0.9020909029284165,mc_dropout_pe_seed2026
sel_melanoma_coverage,0.1377551020408163,0.08808290155440414,0.18817978382030062,mc_dropout_pe_seed2026
sel_automatic_melanoma_miss_rate,0.12755102040816327,0.08,0.1772911708710138,mc_dropout_pe_seed2026
sel_melanoma_fn_escape_rate,0.16339869281045752,0.10457272461223295,0.2285774818401937,mc_dropout_pe_seed2026
