subgroup_variable,subgroup,n,accuracy,macro_f1,melanoma_n,melanoma_recall,ece15
sex,female,621,0.6537842190016103,0.4394142577744188,101,0.3465346534653465,0.14565195118151086
sex,male,546,0.5952380952380952,0.43879020159939286,95,0.3368421052631579,0.1766166885925605
anatom_site_general,anterior torso,195,0.6974358974358974,0.39083469806361376,26,0.34615384615384615,0.15331297386400428
anatom_site_general,head/neck,236,0.3432203389830508,0.25968533260517174,36,0.2777777777777778,0.30971141796657864
anatom_site_general,lower extremity,221,0.6289592760180995,0.4577296163857503,43,0.37209302325581395,0.1499797697159834
anatom_site_general,palms/soles,22,0.5909090909090909,0.3153846153846154,10,0.3,0.27477544127130316
anatom_site_general,posterior torso,263,0.7034220532319392,0.3750793631819726,48,0.2708333333333333,0.1441032874588052
anatom_site_general,upper extremity,118,0.7288135593220338,0.46337354355335486,25,0.52,0.12408403735270866
anatom_site_general,nan,100,0.82,0.4711817168338907,5,0.4,0.09687389884244357
diagnosis_confirm_type,histopathology,651,0.46390168970814133,0.36382224944870695,196,0.34183673469387754,0.23769900166662214
diagnosis_confirm_type,nan,516,0.8313953488372093,0.3621109937937594,0,,0.06282350735432712
fitzpatrick_skin_type,I,90,0.5222222222222223,0.43148817718340116,25,0.36,0.24549566205911538
fitzpatrick_skin_type,II,709,0.5486600846262342,0.40502421591568094,144,0.3402777777777778,0.19491630329278964
fitzpatrick_skin_type,III,241,0.8423236514522822,0.5553819960234934,17,0.4117647058823529,0.07645832092967436
fitzpatrick_skin_type,IV,25,0.92,0.3194444444444445,0,,0.0704794478073363
fitzpatrick_skin_type,nan,104,0.6730769230769231,0.39099858474858473,10,0.2,0.16199430543367277
